"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 23:26:17 GMT 2022","Fri Jul 01 23:26:17 GMT 2022","721","tests","test_get_characters","TestCharacters","","","test_single_character_not_existing",""
"passed","Fri Jul 01 23:26:21 GMT 2022","Fri Jul 01 23:26:22 GMT 2022","241","tests","test_restful_booker_api","TestRestfulBooker","","","test_5_update_booking",""
"passed","Fri Jul 01 23:26:04 GMT 2022","Fri Jul 01 23:26:06 GMT 2022","1934","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_2_check_list_resource_pages","Getting the default list of resources. Determining the number of ID resources."
"passed","Fri Jul 01 23:25:53 GMT 2022","Fri Jul 01 23:25:54 GMT 2022","1583","tests","test_book_store_account_version2","TestBookStore","","","test_delete","delete new user"
"passed","Fri Jul 01 23:25:49 GMT 2022","Fri Jul 01 23:25:50 GMT 2022","331","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode_by_title",""
"passed","Fri Jul 01 23:26:15 GMT 2022","Fri Jul 01 23:26:16 GMT 2022","967","tests","test_get_characters","TestCharacters","","","test_character_limit_offset",""
"passed","Fri Jul 01 23:26:16 GMT 2022","Fri Jul 01 23:26:17 GMT 2022","330","tests","test_get_characters","TestCharacters","","","test_single_character_invalid_id",""
"passed","Fri Jul 01 23:26:20 GMT 2022","Fri Jul 01 23:26:20 GMT 2022","219","tests","test_restful_booker_api","TestRestfulBooker","","","test_1_create_auth_token","Generate token"
"passed","Fri Jul 01 23:26:14 GMT 2022","Fri Jul 01 23:26:14 GMT 2022","286","tests","test_get_characters","TestCharacters","","","test_character_by_name",""
"passed","Fri Jul 01 23:26:13 GMT 2022","Fri Jul 01 23:26:14 GMT 2022","405","tests","test_get_characters","TestCharacters","","","test_character_by_invalid_name",""
"passed","Fri Jul 01 23:26:15 GMT 2022","Fri Jul 01 23:26:15 GMT 2022","316","tests","test_get_characters","TestCharacters","","","test_character_invalid_limit",""
"skipped","Fri Jul 01 23:25:52 GMT 2022","Fri Jul 01 23:25:52 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_2_generate_token","Generate token"
"passed","Fri Jul 01 23:25:50 GMT 2022","Fri Jul 01 23:25:51 GMT 2022","482","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_1_create_new_user",""
"passed","Fri Jul 01 23:26:16 GMT 2022","Fri Jul 01 23:26:16 GMT 2022","327","tests","test_get_characters","TestCharacters","","","test_single_character",""
"passed","Fri Jul 01 23:26:18 GMT 2022","Fri Jul 01 23:26:18 GMT 2022","250","tests","test_get_episodes","TestEpisodes","","","test_get_all_episodes",""
"passed","Fri Jul 01 23:26:20 GMT 2022","Fri Jul 01 23:26:20 GMT 2022","490","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote",""
"passed","Fri Jul 01 23:25:51 GMT 2022","Fri Jul 01 23:25:52 GMT 2022","386","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_4_account_authorized",""
"skipped","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_15",""
"passed","Fri Jul 01 23:26:13 GMT 2022","Fri Jul 01 23:26:13 GMT 2022","575","tests","test_get_characters","TestCharacters","","","test_character_by_category_limit",""
"skipped","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_14",""
"skipped","Fri Jul 01 23:25:52 GMT 2022","Fri Jul 01 23:25:52 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_3_login","user login"
"skipped","Fri Jul 01 23:25:52 GMT 2022","Fri Jul 01 23:25:52 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_4_account_authorized","checking user logged in or not"
"passed","Fri Jul 01 23:25:50 GMT 2022","Fri Jul 01 23:25:50 GMT 2022","332","tests","test_9kovlev_get_episodes","TestCharacters","","","test_test_first_episoode_invalid_id",""
"passed","Fri Jul 01 23:25:55 GMT 2022","Fri Jul 01 23:25:57 GMT 2022","1619","tests","test_book_store_account_version2","TestBookStore","","","test_user_create","create new user"
"passed","Fri Jul 01 23:25:51 GMT 2022","Fri Jul 01 23:25:51 GMT 2022","370","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_3_login_existing_user",""
"passed","Fri Jul 01 23:25:49 GMT 2022","Fri Jul 01 23:25:49 GMT 2022","318","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode",""
"passed","Fri Jul 01 23:26:18 GMT 2022","Fri Jul 01 23:26:19 GMT 2022","246","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_series",""
"passed","Fri Jul 01 23:26:20 GMT 2022","Fri Jul 01 23:26:20 GMT 2022","246","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote_from_author",""
"passed","Fri Jul 01 23:26:20 GMT 2022","Fri Jul 01 23:26:21 GMT 2022","520","tests","test_restful_booker_api","TestRestfulBooker","","","test_2_get_booking_ids","Get all booking ids"
"passed","Fri Jul 01 23:26:14 GMT 2022","Fri Jul 01 23:26:14 GMT 2022","404","tests","test_get_characters","TestCharacters","","","test_character_by_part_name",""
"passed","Fri Jul 01 23:25:51 GMT 2022","Fri Jul 01 23:25:51 GMT 2022","469","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_2_get_token",""
"passed","Fri Jul 01 23:26:07 GMT 2022","Fri Jul 01 23:26:08 GMT 2022","570","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_4_registration","Registration successful"
"passed","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite","","","test_4",""
"passed","Fri Jul 01 23:26:06 GMT 2022","Fri Jul 01 23:26:07 GMT 2022","1311","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_3_CrUD_user","Creating a user"
"passed","Fri Jul 01 23:26:08 GMT 2022","Fri Jul 01 23:26:08 GMT 2022","551","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_5_login","Registration successful"
"passed","Fri Jul 01 23:25:59 GMT 2022","Fri Jul 01 23:25:59 GMT 2022","721","tests","test_book_store_account_version2","TestBookStore","","","test_z_authorized","Authorized user"
"passed","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite","","","test_3",""
"passed","Fri Jul 01 23:26:11 GMT 2022","Fri Jul 01 23:26:12 GMT 2022","841","tests","test_get_characters","TestCharacters","","","test_all_characters",""
"passed","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_12",""
"passed","Fri Jul 01 23:25:54 GMT 2022","Fri Jul 01 23:25:55 GMT 2022","808","tests","test_book_store_account_version2","TestBookStore","","","test_generate_token","Generate token"
"passed","Fri Jul 01 23:25:57 GMT 2022","Fri Jul 01 23:25:59 GMT 2022","1908","tests","test_book_store_account_version2","TestBookStore","","","test_user_get","get new user info"
"passed","Fri Jul 01 23:26:22 GMT 2022","Fri Jul 01 23:26:22 GMT 2022","230","tests","test_restful_booker_api","TestRestfulBooker","","","test_7_delete_booking",""
"passed","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:04 GMT 2022","3763","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_1_check_list_users_pages","Getting the default list of users. Determining the number of pages and users."
"passed","Fri Jul 01 23:26:19 GMT 2022","Fri Jul 01 23:26:20 GMT 2022","245","tests","test_get_quotes","TestGetQuotes","","","test_get_quote_by_id",""
"passed","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite","","","test_1",""
"passed","Fri Jul 01 23:26:21 GMT 2022","Fri Jul 01 23:26:21 GMT 2022","243","tests","test_restful_booker_api","TestRestfulBooker","","","test_4_get_booking_filter_by_id","Get booking filter by id"
"skipped","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_13",""
"passed","Fri Jul 01 23:26:12 GMT 2022","Fri Jul 01 23:26:13 GMT 2022","247","tests","test_get_characters","TestCharacters","","","test_character_by_category",""
"passed","Fri Jul 01 23:26:17 GMT 2022","Fri Jul 01 23:26:18 GMT 2022","409","tests","test_get_episodes","TestEpisodes","","","test_episode_title_in_data",""
"passed","Fri Jul 01 23:26:21 GMT 2022","Fri Jul 01 23:26:21 GMT 2022","219","tests","test_restful_booker_api","TestRestfulBooker","","","test_3_create_booking","Create booking"
"passed","Fri Jul 01 23:26:08 GMT 2022","Fri Jul 01 23:26:11 GMT 2022","3258","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_6_check_delayed_response","Checking delayed page calls"
"passed","Fri Jul 01 23:26:19 GMT 2022","Fri Jul 01 23:26:19 GMT 2022","330","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes_by_author",""
"passed","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_11",""
"passed","Fri Jul 01 23:26:18 GMT 2022","Fri Jul 01 23:26:18 GMT 2022","251","tests","test_get_episodes","TestEpisodes","","","test_episodes_by_part_name_of_series",""
"passed","Fri Jul 01 23:26:14 GMT 2022","Fri Jul 01 23:26:15 GMT 2022","336","tests","test_get_characters","TestCharacters","","","test_character_by_random",""
"passed","Fri Jul 01 23:26:18 GMT 2022","Fri Jul 01 23:26:18 GMT 2022","245","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_id",""
"passed","Fri Jul 01 23:26:22 GMT 2022","Fri Jul 01 23:26:22 GMT 2022","265","tests","test_restful_booker_api","TestRestfulBooker","","","test_6_partial_update",""
"passed","Fri Jul 01 23:25:48 GMT 2022","Fri Jul 01 23:25:49 GMT 2022","914","tests","test_9kovlev_get_episodes","TestCharacters","","","test_episoode_by_series",""
"passed","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","1","tests","test_dummy","TestSuite","","","test_5",""
"passed","Fri Jul 01 23:26:19 GMT 2022","Fri Jul 01 23:26:19 GMT 2022","247","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes",""
"skipped","Fri Jul 01 23:25:52 GMT 2022","Fri Jul 01 23:25:52 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_1_user_create","create new user"
"skipped","Fri Jul 01 23:25:52 GMT 2022","Fri Jul 01 23:25:52 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_5_user_delete","delete user"
"passed","Fri Jul 01 23:26:00 GMT 2022","Fri Jul 01 23:26:00 GMT 2022","0","tests","test_dummy","TestSuite","","","test_2",""
"passed","Fri Jul 01 23:25:52 GMT 2022","Fri Jul 01 23:25:52 GMT 2022","389","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_5_delete_user",""
